Date,Mkt-RF,SMB,HML,RMW,CMA,RF
2000-12    ,1.50    ,4.90   ,10.93    ,0.68    ,8.14    ,0.50
2001-01    ,3.25    ,3.43   ,-8.70   ,-6.11  ,-10.76    ,0.54
2001-02   ,-9.77    ,2.32   ,17.57    ,9.92   ,13.10    ,0.38
2001-03   ,-7.32    ,1.51   ,10.45    ,4.01    ,8.24    ,0.42
2001-04    ,7.66   ,-0.06   ,-8.33   ,-3.86   ,-6.46    ,0.39
2001-05    ,0.84    ,3.52    ,1.92   ,-0.46    ,1.73    ,0.32
2001-06   ,-1.95    ,4.69    ,0.20    ,0.85   ,-2.04    ,0.28
2001-07   ,-2.17   ,-3.30    ,3.16    ,7.17    ,5.92    ,0.30
2001-08   ,-6.30    ,2.13    ,3.91    ,3.63    ,8.19    ,0.31
2001-09   ,-9.37   ,-5.40    ,1.54    ,3.78    ,5.92    ,0.28
2001-10    ,2.41    ,5.45   ,-6.99   ,-1.23   ,-6.50    ,0.22
2001-11    ,7.74   ,-0.06   ,-0.74   ,-2.69   ,-3.85    ,0.17
2001-12    ,1.67    ,5.26    ,1.64    ,0.55    ,1.02    ,0.15
2002-01   ,-1.61    ,0.74    ,3.33    ,4.90    ,3.80    ,0.14
2002-02   ,-2.23   ,-0.62    ,4.98    ,7.10    ,7.46    ,0.13
2002-03    ,4.26    ,3.81    ,1.11   ,-0.66    ,0.04    ,0.13
2002-04   ,-5.22    ,5.79    ,7.45    ,3.56    ,6.89    ,0.15
2002-05   ,-1.15   ,-2.50    ,2.92    ,1.23    ,4.52    ,0.14
2002-06   ,-7.31    ,2.31    ,2.20    ,3.70    ,2.99    ,0.13
2002-07   ,-8.35   ,-5.47   ,-3.20    ,3.32   ,-0.70    ,0.15
2002-08    ,0.60   ,-0.50    ,1.31    ,1.25   ,-1.16    ,0.14
2002-09  ,-10.12    ,3.14    ,0.80    ,2.41   ,-1.77    ,0.14
2002-10    ,7.55   ,-4.01   ,-6.42   ,-3.07    ,0.02    ,0.14
2002-11    ,5.89    ,2.09   ,-1.42   ,-7.35    ,4.12    ,0.12
2002-12   ,-5.48    ,0.84    ,4.33    ,5.01   ,-1.71    ,0.11
2003-01   ,-2.47    ,0.79   ,-0.42   ,-1.34    ,0.37    ,0.10
2003-02   ,-1.69   ,-0.92    ,0.11    ,0.92   ,-1.11    ,0.09
2003-03    ,0.83    ,0.17   ,-1.90    ,1.25   ,-0.28    ,0.10
2003-04    ,8.13    ,1.02   ,-0.30   ,-3.76    ,0.53    ,0.10
2003-05    ,6.32    ,4.26    ,0.55   ,-4.16    ,1.29    ,0.09
2003-06    ,1.51    ,1.34    ,0.04    ,0.79   ,-0.80    ,0.10
2003-07    ,2.16    ,3.93   ,-0.98   ,-4.06    ,1.03    ,0.07
2003-08    ,2.50    ,2.64    ,1.39   ,-2.35    ,1.94    ,0.07
2003-09   ,-1.07    ,0.50    ,0.07    ,1.06   ,-0.14    ,0.08
2003-10    ,6.05    ,2.75    ,3.26   ,-1.61    ,2.00    ,0.07
2003-11    ,1.48    ,2.35    ,0.85   ,-0.36    ,1.10    ,0.07
2003-12    ,4.52   ,-2.37    ,1.75   ,-0.39    ,0.99    ,0.08
2004-01    ,2.09    ,1.72    ,1.33   ,-3.17    ,1.96    ,0.07
2004-02    ,1.52   ,-0.15    ,0.91    ,1.68   ,-1.10    ,0.06
2004-03   ,-1.18    ,2.43    ,0.40    ,1.39   ,-0.79    ,0.09
2004-04   ,-2.20   ,-1.98   ,-2.85    ,4.03   ,-1.49    ,0.08
2004-05    ,1.27   ,-0.18    ,0.52   ,-1.66    ,0.35    ,0.06
2004-06    ,2.04    ,1.91    ,1.30    ,0.60    ,0.18    ,0.08
2004-07   ,-3.81   ,-2.52    ,3.99    ,3.57   ,-0.41    ,0.10
2004-08    ,0.04   ,-1.14    ,1.48    ,0.62   ,-0.51    ,0.11
2004-09    ,2.08    ,3.81    ,0.01   ,-0.50   ,-1.59    ,0.11
2004-10    ,1.66    ,0.56    ,0.07    ,0.26    ,1.10    ,0.11
2004-11    ,4.63    ,4.30    ,1.14    ,0.27   ,-0.66    ,0.15
2004-12    ,3.31   ,-0.30   ,-0.24   ,-0.40    ,0.52    ,0.16
2005-01   ,-2.66   ,-0.65    ,1.80    ,3.18   ,-0.39    ,0.16
2005-02    ,2.19    ,0.37    ,1.75    ,1.94    ,0.30    ,0.16
2005-03   ,-1.69   ,-1.33    ,1.58    ,1.30    ,1.24    ,0.21
2005-04   ,-2.88   ,-3.94   ,-0.21    ,0.80   ,-0.73    ,0.21
2005-05    ,3.49    ,2.25   ,-0.87   ,-0.71   ,-0.34    ,0.24
2005-06    ,0.92    ,3.27    ,2.49    ,1.23   ,-0.34    ,0.23
2005-07    ,4.03    ,2.64   ,-1.35    ,0.32   ,-1.04    ,0.24
2005-08   ,-0.71   ,-0.22    ,1.50   ,-0.23   ,-0.12    ,0.30
2005-09    ,0.91    ,0.21    ,1.39    ,0.91   ,-1.48    ,0.29
2005-10   ,-2.52   ,-1.94   ,-0.41   ,-1.85   ,-0.21    ,0.27
2005-11    ,3.88    ,1.07   ,-0.79   ,-0.47   ,-0.96    ,0.31
2005-12    ,0.14    ,0.22    ,0.24    ,0.15   ,-0.03    ,0.32
2006-01    ,3.48    ,5.77    ,0.31   ,-0.23   ,-1.13    ,0.35
2006-02   ,-0.54   ,-0.56    ,0.71   ,-1.86    ,2.26    ,0.34
2006-03    ,1.39    ,2.93    ,0.08    ,0.07   ,-0.54    ,0.37
2006-04    ,1.15    ,0.14    ,2.61    ,1.42   ,-0.66    ,0.36
2006-05   ,-3.37   ,-2.30    ,2.39    ,0.72    ,1.65    ,0.43
2006-06   ,-0.55   ,-0.70    ,0.69    ,1.46    ,0.03    ,0.40
2006-07   ,-0.74   ,-2.78    ,2.70    ,1.29    ,0.46    ,0.40
2006-08    ,2.12    ,0.41   ,-1.02   ,-1.85    ,2.00    ,0.42
2006-09    ,1.33   ,-2.17    ,0.79   ,-0.31    ,1.16    ,0.41
2006-10    ,3.27    ,2.22   ,-1.00    ,0.72   ,-0.57    ,0.41
2006-11    ,1.74   ,-0.14    ,0.14   ,-0.38   ,-1.08    ,0.42
2006-12    ,0.65   ,-0.55    ,2.43   ,-1.22    ,2.03    ,0.40
2007-01    ,1.23   ,-0.07   ,-0.67    ,0.30    ,0.57    ,0.44
2007-02   ,-1.75    ,1.53    ,0.35   ,-0.35   ,-0.55    ,0.38
2007-03    ,0.90    ,0.03    ,0.31    ,0.92   ,-1.01    ,0.43
2007-04    ,3.86   ,-1.31   ,-1.17    ,1.54    ,0.31    ,0.44
2007-05    ,3.68    ,0.02    ,0.47    ,1.58   ,-1.49    ,0.41
2007-06   ,-1.74    ,0.64   ,-0.65    ,0.76   ,-0.02    ,0.40
2007-07   ,-3.43   ,-2.76   ,-2.80    ,0.99   ,-1.92    ,0.40
2007-08    ,0.68   ,-1.21   ,-1.36   ,-1.27   ,-0.02    ,0.42
2007-09    ,3.82   ,-1.63   ,-2.24   ,-0.37   ,-3.50    ,0.32
2007-10    ,2.33    ,0.57   ,-4.16    ,0.04   ,-0.48    ,0.32
2007-11   ,-5.45   ,-3.58   ,-0.98    ,1.83    ,1.40    ,0.34
2007-12   ,-0.56    ,0.59   ,-0.79    ,1.70   ,-1.14    ,0.27
2008-01   ,-6.38   ,-1.02    ,5.15   ,-0.45    ,2.38    ,0.21
2008-02   ,-2.24    ,0.38   ,-0.22    ,1.89   ,-1.66    ,0.13
2008-03   ,-1.30    ,0.02    ,0.39    ,1.10    ,1.77    ,0.17
2008-04    ,4.73   ,-1.82    ,0.07    ,2.38   ,-2.34    ,0.18
2008-05    ,2.41    ,2.86   ,-2.74    ,1.92   ,-0.87    ,0.18
2008-06   ,-7.90    ,0.99   ,-2.80    ,5.33   ,-1.43    ,0.17
2008-07   ,-1.54    ,2.57    ,1.69   ,-2.95    ,3.79    ,0.15
2008-08    ,1.00    ,2.32    ,1.07    ,2.01    ,2.09    ,0.13
2008-09   ,-9.96   ,-0.80    ,4.07   ,-1.39    ,5.19    ,0.15
2008-10  ,-18.41   ,-3.83   ,-0.48    ,2.44    ,3.16    ,0.08
2008-11   ,-7.74   ,-4.64   ,-3.11    ,2.59    ,2.59    ,0.03
2008-12    ,1.50    ,4.53   ,-1.57    ,0.10   ,-1.41    ,0.00
2009-01   ,-7.52   ,-1.64   ,-7.26    ,2.01   ,-3.00    ,0.00
2009-02   ,-9.89   ,-1.11   ,-5.54    ,1.21   ,-2.19    ,0.01
2009-03    ,8.81    ,0.25    ,1.01   ,-1.84   ,-1.91    ,0.02
2009-04   ,10.49    ,6.36    ,4.25    ,1.35   ,-0.99    ,0.01
2009-05    ,6.68   ,-1.59   ,-0.08   ,-1.62   ,-3.32    ,0.00
2009-06   ,-0.22    ,1.54   ,-3.08   ,-0.45    ,0.44    ,0.01
2009-07    ,8.14    ,2.17    ,4.59   ,-0.65    ,1.67    ,0.01
2009-08    ,3.02    ,0.18    ,5.49   ,-1.96    ,2.43    ,0.01
2009-09    ,4.54    ,3.27    ,1.51    ,1.48   ,-1.33    ,0.01
2009-10   ,-2.75   ,-3.54   ,-2.60    ,3.87   ,-0.87    ,0.00
2009-11    ,5.76   ,-2.09   ,-0.15    ,0.50   ,-0.92    ,0.00
2009-12    ,3.02    ,5.53    ,0.19    ,0.90   ,-0.47    ,0.01
2010-01   ,-3.63    ,0.55    ,0.64   ,-1.41    ,1.86    ,0.00
2010-02    ,3.71    ,1.32    ,2.73   ,-0.24    ,0.04    ,0.00
2010-03    ,6.27    ,1.69    ,1.40   ,-1.21    ,0.69    ,0.01
2010-04    ,1.92    ,4.13    ,2.06    ,0.98    ,1.24    ,0.01
2010-05   ,-7.86    ,0.28   ,-2.20    ,0.33    ,0.30    ,0.01
2010-06   ,-5.50   ,-1.75   ,-3.82   ,-0.15   ,-0.63    ,0.01
2010-07    ,6.95    ,0.09    ,1.08    ,0.20    ,2.02    ,0.01
2010-08   ,-4.45   ,-1.90   ,-2.17    ,0.70   ,-3.13    ,0.01
2010-09    ,9.47    ,3.57   ,-1.83   ,-0.21   ,-0.12    ,0.01
2010-10    ,3.89    ,0.80   ,-1.40    ,0.83    ,0.11    ,0.01
2010-11    ,0.81    ,3.81    ,0.04   ,-0.15    ,0.67    ,0.01
2010-12    ,6.83    ,1.25    ,3.45   ,-3.64    ,2.48    ,0.01
2011-01    ,1.98   ,-2.06    ,1.33    ,0.13    ,1.24    ,0.01
2011-02    ,4.01    ,1.89    ,0.40   ,-1.93   ,-0.39    ,0.01
2011-03    ,0.43    ,2.16   ,-1.72    ,2.19    ,0.76    ,0.01
2011-04    ,2.79   ,-0.03   ,-2.28    ,1.24   ,-0.60    ,0.00
2011-05   ,-1.48   ,-0.96   ,-1.45    ,2.71   ,-0.73    ,0.00
2011-06   ,-1.87   ,-0.40   ,-0.23    ,2.71    ,0.09    ,0.00
2011-07   ,-2.28   ,-0.71   ,-1.96    ,1.93   ,-1.91    ,0.00
2011-08   ,-5.92   ,-2.85   ,-1.85    ,1.67   ,-0.66    ,0.01
2011-09   ,-8.57   ,-3.87   ,-0.55    ,2.66    ,0.25    ,0.00
2011-10   ,11.56    ,3.21   ,-0.05   ,-1.07   ,-0.16    ,0.00
2011-11   ,-0.46   ,-0.63   ,-0.24    ,1.73    ,1.06    ,0.00
2011-12    ,0.33   ,-0.50    ,2.89    ,0.00    ,2.94    ,0.00
2012-01    ,5.27    ,2.22   ,-2.95   ,-1.60   ,-1.46    ,0.00
2012-02    ,4.32   ,-1.32    ,0.14    ,0.42    ,0.14    ,0.00
2012-03    ,2.40   ,-1.14    ,0.72   ,-0.85    ,1.42    ,0.00
2012-04   ,-0.64   ,-0.96   ,-0.30    ,1.06    ,0.52    ,0.00
2012-05   ,-6.69   ,-0.42    ,0.44    ,2.01    ,2.74    ,0.01
2012-06    ,3.74    ,0.50    ,0.34   ,-0.98    ,0.72    ,0.00
2012-07    ,1.01   ,-2.24    ,0.72    ,0.77    ,0.10    ,0.00
2012-08    ,2.76    ,0.79    ,0.24   ,-1.12   ,-1.12    ,0.01
2012-09    ,2.80    ,0.88    ,0.68   ,-1.68    ,0.75    ,0.01
2012-10   ,-1.63   ,-0.37    ,3.72   ,-0.93    ,2.27    ,0.01
2012-11    ,0.65   ,-0.05   ,-0.73    ,0.76    ,0.86    ,0.01
2012-12    ,1.30    ,1.98    ,3.03   ,-1.59    ,0.70    ,0.01
2013-01    ,5.33    ,0.51    ,1.54   ,-0.75    ,2.22    ,0.00
2013-02    ,0.96   ,-0.91   ,-0.01    ,0.19    ,1.09    ,0.00
2013-03    ,3.71    ,0.82   ,-0.15    ,0.78    ,1.86    ,0.00
2013-04    ,1.27   ,-2.69   ,-0.02    ,0.38    ,0.99    ,0.00
2013-05    ,2.53    ,1.55    ,1.12   ,-1.19   ,-0.99    ,0.00
2013-06   ,-1.52    ,0.99    ,0.52   ,-0.26    ,0.14    ,0.00
2013-07    ,5.69    ,1.70   ,-0.24   ,-1.22   ,-0.23    ,0.00
2013-08   ,-2.53    ,0.24   ,-2.13    ,0.78   ,-2.32    ,0.00
2013-09    ,3.82    ,2.01   ,-1.42    ,0.09   ,-1.29    ,0.00
2013-10    ,4.09   ,-1.55    ,0.65    ,1.73    ,0.62    ,0.00
2013-11    ,2.79    ,0.89   ,-0.53    ,0.51    ,0.62    ,0.00
2013-12    ,2.64   ,-0.59   ,-0.08   ,-0.69   ,-0.42    ,0.00
2014-01   ,-3.42    ,0.62   ,-1.43   ,-3.01   ,-1.17    ,0.00
2014-02    ,4.72    ,0.15   ,-0.42   ,-0.09   ,-0.70    ,0.00
2014-03    ,0.62   ,-0.85    ,4.88    ,1.66    ,2.15    ,0.00
2014-04    ,0.25   ,-3.15    ,1.78    ,3.02    ,1.00    ,0.00
2014-05    ,1.98   ,-1.91   ,-0.57   ,-0.02   ,-1.17    ,0.00
2014-06    ,2.81    ,2.96    ,0.52   ,-2.09   ,-2.17    ,0.00
2014-07   ,-2.06   ,-4.07   ,-0.04    ,0.80   ,-0.01    ,0.00
2014-08    ,4.06    ,0.44   ,-1.01    ,0.51   ,-0.49    ,0.00
2014-09   ,-2.45   ,-3.93   ,-2.62    ,1.24   ,-0.79    ,0.00
2014-10    ,2.03    ,2.20   ,-3.48    ,0.30   ,-0.20    ,0.00
2014-11    ,2.22   ,-2.39   ,-2.95    ,1.31    ,0.17    ,0.00
2014-12   ,-0.20    ,1.89    ,0.77   ,-1.68    ,0.93    ,0.00
2015-01   ,-3.47   ,-1.19   ,-3.89    ,2.14   ,-1.11    ,0.00
2015-02    ,6.15    ,0.57   ,-1.35   ,-1.05   ,-1.95    ,0.00
2015-03   ,-1.20    ,2.50   ,-0.94    ,0.00   ,-0.56    ,0.00
2015-04    ,1.11   ,-2.33    ,3.37   ,-0.64   ,-0.32    ,0.00
2015-05    ,1.00    ,0.38   ,-1.79   ,-1.34   ,-0.60    ,0.00
2015-06   ,-1.70    ,2.51   ,-1.32   ,-0.55   ,-1.04    ,0.00
2015-07    ,1.05   ,-4.88   ,-5.07    ,0.94   ,-2.12    ,0.00
2015-08   ,-5.93    ,0.35    ,3.45    ,0.26    ,0.99    ,0.00
2015-09   ,-3.35   ,-2.86    ,0.72    ,1.54   ,-0.20    ,0.00
2015-10    ,7.53   ,-2.05    ,0.52    ,0.09   ,-0.01    ,0.00
2015-11    ,0.45    ,2.14   ,-1.25   ,-2.07   ,-0.86    ,0.00
2015-12   ,-2.45   ,-3.09   ,-2.20   ,-0.45    ,0.36    ,0.01
2016-01   ,-5.73   ,-3.12    ,4.02    ,2.95    ,2.70    ,0.01
2016-02    ,0.26    ,1.56    ,0.91    ,1.90    ,2.61    ,0.02
2016-03    ,7.00    ,1.52    ,2.00    ,0.09    ,0.45    ,0.02
2016-04    ,1.12    ,2.56    ,3.72   ,-3.61    ,2.65    ,0.01
2016-05    ,1.39   ,-0.57   ,-2.61    ,0.00   ,-2.27    ,0.01
2016-06   ,-0.11    ,0.44    ,0.24    ,0.33    ,2.29    ,0.02
2016-07    ,3.92    ,2.07   ,-2.90    ,0.89   ,-1.68    ,0.02
2016-08    ,0.43    ,1.21    ,1.59   ,-0.97   ,-0.23    ,0.02
2016-09    ,0.34    ,1.35   ,-1.07   ,-1.65   ,-0.05    ,0.02
2016-10   ,-2.05   ,-3.27    ,2.89    ,0.21    ,0.42    ,0.02
2016-11    ,4.54    ,5.29    ,6.78   ,-2.62    ,3.29    ,0.01
2016-12    ,1.77    ,0.20    ,3.10    ,0.04    ,0.45    ,0.03
2017-01    ,2.13   ,-1.01   ,-1.84   ,-0.23   ,-1.69    ,0.04
2017-02    ,3.24   ,-1.81   ,-3.40    ,0.25   ,-1.52    ,0.04
2017-03    ,0.21    ,0.35   ,-2.95    ,1.63   ,-1.12    ,0.03
2017-04    ,0.84   ,-0.16   ,-3.05    ,1.79   ,-1.57    ,0.05
